,Data,Time,Home,Score,Away,Venue,Season
126,Sat 3 Apr,15:00,Harlequins,23-14,Newcastle Falcons,Twickenham Stoop,2009-2010
127,Sat 3 Apr,15:00,Leeds Carnegie,7-14,Northampton Saints,Headingley Carnegie,2009-2010
128,Sat 3 Apr,15:00,Leicester Tigers,43-20,Bath Rugby,Welford Road,2009-2010
129,Sat 3 Apr,17:30,Gloucester Rugby,29-28,Saracens,Kingsholm,2009-2010
130,Sun 4 Apr,13:30,London Wasps,33-22,London Irish,Adams Park,2009-2010
132,Fri 9 Apr,19:45,Sale Sharks,19-30,Saracens,Edgeley Park,2009-2010
133,Sat 10 Apr,14:00,Harlequins,46-11,Leeds Carnegie,Twickenham Stoop,2009-2010
134,Sat 10 Apr,15:00,Worcester Warriors,13-23,London Irish,Sixways,2009-2010
136,Sat 17 Apr,14:15,Bath Rugby,34-15,Sale Sharks,Recreation Ground,2009-2010
137,Sat 17 Apr,15:00,Northampton Saints,38-23,Gloucester Rugby,Franklin's Gardens,2009-2010
138,Sat 17 Apr,15:00,Worcester Warriors,20-24,London Wasps,Sixways,2009-2010
139,Sat 17 Apr,17:30,Saracens,37-18,Harlequins,Wembley Stadium,2009-2010
140,Sun 18 Apr,15:00,London Irish,13-23,Leeds Carnegie,Madejski Stadium,2009-2010
141,Sun 18 Apr,15:00,Newcastle Falcons,7-31,Leicester Tigers,Kingston Park,2009-2010
143,Tue 20 Apr,20:00,Bath Rugby,21-20,Northampton Saints,Recreation Ground,2009-2010
145,Fri 23 Apr,19:45,Sale Sharks,30-32,Newcastle Falcons,Edgeley Park,2009-2010
146,Sat 24 Apr,15:00,Gloucester Rugby,34-20,London Irish,Kingsholm,2009-2010
147,Sat 24 Apr,15:00,Leicester Tigers,40-22,Harlequins,Welford Road,2009-2010
148,Sat 24 Apr,15:00,Northampton Saints,27-28,Saracens,Franklin's Gardens,2009-2010
149,Sat 24 Apr,17:30,London Wasps,19-35,Bath Rugby,Twickenham Stadium,2009-2010
150,Sun 25 Apr,15:00,Leeds Carnegie,12-10,Worcester Warriors,Headingley Carnegie,2009-2010
152,Sat 8 May,15:00,Bath Rugby,39-3,Leeds Carnegie,Recreation Ground,2009-2010
153,Sat 8 May,15:00,Harlequins,35-20,Sale Sharks,Twickenham Stoop,2009-2010
154,Sat 8 May,15:00,Leicester Tigers,23-32,Saracens,Welford Road,2009-2010
155,Sat 8 May,15:00,London Irish,7-31,Northampton Saints,Madejski Stadium,2009-2010
156,Sat 8 May,15:00,Newcastle Falcons,21-25,London Wasps,Kingston Park,2009-2010
157,Sat 8 May,15:00,Worcester Warriors,22-23,Gloucester Rugby,Sixways,2009-2010
159,Sun 16 May,13:30,Northampton Saints,19-21,Saracens,Franklin's Gardens,2009-2010
160,Sun 16 May,16:00,Leicester Tigers,15-6,Bath Rugby,Welford Road,2009-2010
162,Sat 29 May,17:30,Leicester Tigers,33-27,Saracens,Twickenham Stadium,2009-2010
1,Fri 3 Sep,19:45,Sale Sharks,35-18,Newcastle Falcons,Edgeley Park,2010-2011
2,Sat 4 Sep,14:00,London Irish,33-16,Saracens,Twickenham Stadium,2010-2011
3,Sat 4 Sep,15:00,Exeter Chiefs,22-10,Gloucester Rugby,Sandy Park,2010-2011
4,Sat 4 Sep,16:30,London Wasps,29-29,Harlequins,Twickenham Stadium,2010-2011
5,Sun 5 Sep,15:00,Leeds Carnegie,16-32,Bath Rugby,Headingley Carnegie,2010-2011
6,Sun 5 Sep,15:00,Northampton Saints,27-19,Leicester Tigers,Franklin's Gardens,2010-2011
8,Fri 10 Sep,20:00,Newcastle Falcons,29-17,London Wasps,Kingston Park,2010-2011
9,Sat 11 Sep,13:30,Harlequins,16-20,Northampton Saints,Twickenham Stoop,2010-2011
10,Sat 11 Sep,14:15,Bath Rugby,20-13,London Irish,Recreation Ground,2010-2011
11,Sat 11 Sep,15:00,Gloucester Rugby,22-21,Leeds Carnegie,Kingsholm,2010-2011
12,Sat 11 Sep,17:30,Leicester Tigers,37-27,Exeter Chiefs,Welford Road,2010-2011
13,Sun 12 Sep,15:00,Saracens,28-13,Sale Sharks,Vicarage Road,2010-2011
15,Fri 17 Sep,19:45,Northampton Saints,31-10,Bath Rugby,Franklin's Gardens,2010-2011
16,Fri 17 Sep,19:45,Sale Sharks,21-17,Harlequins,Edgeley Park,2010-2011
17,Sat 18 Sep,15:00,Exeter Chiefs,22-17,Newcastle Falcons,Sandy Park,2010-2011
18,Sat 18 Sep,15:05,London Wasps,37-30,Leicester Tigers,Adams Park,2010-2011
19,Sun 19 Sep,15:00,Leeds Carnegie,14-26,Saracens,Headingley Carnegie,2010-2011
20,Sun 19 Sep,15:00,London Irish,23-16,Gloucester Rugby,Madejski Stadium,2010-2011
22,Sat 25 Sep,14:15,Bath Rugby,31-16,Sale Sharks,Recreation Ground,2010-2011
23,Sat 25 Sep,14:30,Gloucester Rugby,22-20,London Wasps,Kingsholm,2010-2011
24,Sat 25 Sep,15:00,Harlequins,40-13,Exeter Chiefs,Twickenham Stoop,2010-2011
25,Sat 25 Sep,15:00,Leicester Tigers,48-6,Leeds Carnegie,Welford Road,2010-2011
26,Sat 25 Sep,17:15,Newcastle Falcons,12-46,London Irish,Kingston Park,2010-2011
27,Sun 26 Sep,15:00,Saracens,24-17,Northampton Saints,Vicarage Road,2010-2011
29,Fri 1 Oct,19:45,Sale Sharks,24-25,London Wasps,Edgeley Park,2010-2011
30,Fri 1 Oct,20:05,Bath Rugby,3-18,Gloucester Rugby,Recreation Ground,2010-2011
31,Sat 2 Oct,15:00,Harlequins,23-12,Newcastle Falcons,Twickenham Stoop,2010-2011
32,Sat 2 Oct,15:00,London Irish,40-24,Leeds Carnegie,Madejski Stadium,2010-2011
33,Sat 2 Oct,15:00,Northampton Saints,27-21,Exeter Chiefs,Franklin's Gardens,2010-2011
34,Sun 3 Oct,16:30,Saracens,26-20,Leicester Tigers,Vicarage Road,2010-2011
36,Fri 22 Oct,19:45,Leeds Carnegie,3-6,Sale Sharks,Headingley Carnegie,2010-2011
37,Fri 22 Oct,20:00,Newcastle Falcons,13-15,Saracens,Kingston Park,2010-2011
38,Sat 23 Oct,14:30,Leicester Tigers,21-15,Bath Rugby,Welford Road,2010-2011
39,Sat 23 Oct,15:00,Gloucester Rugby,33-26,Harlequins,Kingsholm,2010-2011
40,Sat 23 Oct,17:15,Exeter Chiefs,9-12,London Irish,Sandy Park,2010-2011
41,Sun 24 Oct,15:00,London Wasps,10-37,Northampton Saints,Adams Park,2010-2011
43,Sat 30 Oct,14:30,Northampton Saints,34-13,Newcastle Falcons,Franklin's Gardens,2010-2011
44,Sat 30 Oct,15:00,Saracens,9-23,Exeter Chiefs,Vicarage Road,2010-2011
45,Sat 30 Oct,17:30,Gloucester Rugby,19-12,Leicester Tigers,Kingsholm,2010-2011
46,Sun 31 Oct,14:30,Harlequins,6-6,Bath Rugby,Twickenham Stoop,2010-2011
47,Sun 31 Oct,15:00,Leeds Carnegie,8-17,London Wasps,Headingley Carnegie,2010-2011
48,Sun 31 Oct,15:00,London Irish,39-26,Sale Sharks,Madejski Stadium,2010-2011
50,Fri 19 Nov,19:45,Leicester Tigers,18-13,Harlequins,Welford Road,2010-2011
51,Fri 19 Nov,19:45,Sale Sharks,10-19,Northampton Saints,Edgeley Park,2010-2011
52,Sat 20 Nov,15:00,Exeter Chiefs,15-9,Leeds Carnegie,Sandy Park,2010-2011
53,Sun 21 Nov,14:00,London Wasps,33-25,London Irish,Adams Park,2010-2011
54,Sun 21 Nov,15:00,Newcastle Falcons,12-6,Gloucester Rugby,Kingston Park,2010-2011
55,Sun 21 Nov,16:15,Bath Rugby,13-17,Saracens,Recreation Ground,2010-2011
57,Fri 26 Nov,19:45,Northampton Saints,35-23,London Irish,Franklin's Gardens,2010-2011
58,Sat 27 Nov,15:00,Exeter Chiefs,24-19,Sale Sharks,Sandy Park,2010-2011
59,Sat 27 Nov,15:00,Leicester Tigers,44-19,Newcastle Falcons,Welford Road,2010-2011
60,Sat 27 Nov,16:30,Gloucester Rugby,19-13,Saracens,Kingsholm,2010-2011
61,Sat 27 Nov,17:30,Bath Rugby,6-11,London Wasps,Recreation Ground,2010-2011
62,Sun 28 Nov,15:00,Harlequins,51-18,Leeds Carnegie,Twickenham Stoop,2010-2011
64,Sat 4 Dec,14:30,London Irish,14-23,Leicester Tigers,Madejski Stadium,2010-2011
65,Sun 5 Dec,14:15,Saracens,26-14,Harlequins,Vicarage Road,2010-2011
66,Sun 5 Dec,15:00,London Wasps,24-12,Exeter Chiefs,Adams Park,2010-2011
68,Sun 26 Dec,14:45,Saracens,13-6,London Wasps,Wembley Stadium,2010-2011
69,Mon 27 Dec,14:00,Leicester Tigers,54-21,Sale Sharks,Welford Road,2010-2011
70,Mon 27 Dec,16:30,Harlequins,28-18,London Irish,Twickenham Stadium,2010-2011
72,Sat 1 Jan,13:00,Leeds Carnegie,15-13,Gloucester Rugby,Headingley Carnegie,2010-2011
73,Sat 1 Jan,15:00,Northampton Saints,13-16,Harlequins,Franklin's Gardens,2010-2011
74,Sat 1 Jan,15:15,London Irish,24-25,Bath Rugby,Madejski Stadium,2010-2011
75,Sun 2 Jan,14:00,Sale Sharks,28-22,Saracens,Edgeley Park,2010-2011
76,Sun 2 Jan,15:00,London Wasps,33-16,Newcastle Falcons,Adams Park,2010-2011
77,Sun 2 Jan,16:15,Exeter Chiefs,15-22,Leicester Tigers,Sandy Park,2010-2011
79,Fri 7 Jan,19:45,Newcastle Falcons,19-19,Sale Sharks,Kingston Park,2010-2011
80,Sat 8 Jan,14:15,Bath Rugby,16-13,Leeds Carnegie,Recreation Ground,2010-2011
81,Sat 8 Jan,14:45,Harlequins,17-10,London Wasps,Twickenham Stoop,2010-2011
82,Sat 8 Jan,15:00,Gloucester Rugby,37-23,Exeter Chiefs,Kingsholm,2010-2011
83,Sat 8 Jan,17:00,Leicester Tigers,27-16,Northampton Saints,Welford Road,2010-2011
84,Sun 9 Jan,15:00,Saracens,12-6,London Irish,Vicarage Road,2010-2011
86,Fri 11 Feb,19:45,Sale Sharks,7-19,Bath Rugby,Edgeley Park,2010-2011
87,Sat 12 Feb,12:30,London Irish,23-14,Newcastle Falcons,Madejski Stadium,2010-2011
88,Sat 12 Feb,12:30,Northampton Saints,15-29,Saracens,Franklin's Gardens,2010-2011
89,Sat 12 Feb,15:00,Exeter Chiefs,20-6,Harlequins,Sandy Park,2010-2011
90,Sun 13 Feb,15:00,Leeds Carnegie,9-15,Leicester Tigers,Headingley Carnegie,2010-2011
91,Sun 13 Feb,17:00,London Wasps,9-10,Gloucester Rugby,Adams Park,2010-2011
93,Fri 18 Feb,19:45,Gloucester Rugby,23-9,London Irish,Kingsholm,2010-2011
94,Fri 18 Feb,20:00,Newcastle Falcons,13-23,Exeter Chiefs,Kingston Park,2010-2011
95,Sat 19 Feb,15:00,Harlequins,21-9,Sale Sharks,Twickenham Stoop,2010-2011
96,Sat 19 Feb,15:15,Bath Rugby,38-8,Northampton Saints,Recreation Ground,2010-2011
97,Sat 19 Feb,17:30,Leicester Tigers,21-12,London Wasps,Welford Road,2010-2011
98,Sun 20 Feb,15:00,Saracens,39-0,Leeds Carnegie,Vicarage Road,2010-2011
100,Fri 25 Feb,19:45,Sale Sharks,16-18,Leicester Tigers,Edgeley Park,2010-2011
101,Sat 26 Feb,15:00,London Irish,15-9,Harlequins,Madejski Stadium,2010-2011
102,Sat 26 Feb,15:00,Northampton Saints,16-18,Gloucester Rugby,Franklin's Gardens,2010-2011
103,Sat 26 Feb,20:00,Exeter Chiefs,9-12,Bath Rugby,Sandy Park,2010-2011
104,Sun 27 Feb,13:00,London Wasps,15-26,Saracens,Adams Park,2010-2011
105,Sun 27 Feb,17:30,Leeds Carnegie,5-22,Newcastle Falcons,Headingley Carnegie,2010-2011
107,Fri 4 Mar,20:00,Newcastle Falcons,33-18,Harlequins,Kingston Park,2010-2011
108,Sat 5 Mar,13:00,Gloucester Rugby,34-22,Bath Rugby,Kingsholm,2010-2011
109,Sat 5 Mar,15:15,Leicester Tigers,14-15,Saracens,Welford Road,2010-2011
110,Sun 6 Mar,15:00,Exeter Chiefs,30-9,Northampton Saints,Sandy Park,2010-2011
111,Sun 6 Mar,15:00,Leeds Carnegie,27-19,London Irish,Headingley Carnegie,2010-2011
112,Sun 6 Mar,15:00,London Wasps,33-26,Sale Sharks,Adams Park,2010-2011
114,Sat 12 Mar,15:00,Leeds Carnegie,13-23,Northampton Saints,Headingley Carnegie,2010-2011
116,Fri 25 Mar,19:45,Sale Sharks,15-12,Leeds Carnegie,Edgeley Park,2010-2011
117,Sat 26 Mar,14:15,Harlequins,53-15,Gloucester Rugby,Twickenham Stoop,2010-2011
118,Sat 26 Mar,15:00,London Irish,39-17,Exeter Chiefs,Madejski Stadium,2010-2011
119,Sat 26 Mar,16:30,Bath Rugby,6-37,Leicester Tigers,Recreation Ground,2010-2011
120,Sun 27 Mar,13:45,Northampton Saints,39-3,London Wasps,Franklin's Gardens,2010-2011
121,Sun 27 Mar,15:00,Saracens,24-9,Newcastle Falcons,Vicarage Road,2010-2011
123,Sat 2 Apr,14:30,Northampton Saints,53-24,Sale Sharks,Franklin's Gardens,2010-2011
124,Sat 2 Apr,15:00,Gloucester Rugby,34-9,Newcastle Falcons,Kingsholm,2010-2011
125,Sat 2 Apr,17:30,Harlequins,13-17,Leicester Tigers,Twickenham Stoop,2010-2011
126,Sun 3 Apr,14:15,Saracens,20-9,Bath Rugby,Vicarage Road,2010-2011
127,Sun 3 Apr,15:00,Leeds Carnegie,27-22,Exeter Chiefs,Headingley Carnegie,2010-2011
128,Sun 3 Apr,15:00,London Irish,25-12,London Wasps,Madejski Stadium,2010-2011
130,Fri 8 Apr,19:45,Sale Sharks,36-31,Gloucester Rugby,Edgeley Park,2010-2011
132,Sat 9 Apr,14:30,Bath Rugby,26-18,Exeter Chiefs,Recreation Ground,2010-2011
133,Sat 9 Apr,15:00,Newcastle Falcons,29-30,Leeds Carnegie,Kingston Park,2010-2011
135,Fri 15 Apr,19:45,Newcastle Falcons,15-22,Northampton Saints,Kingston Park,2010-2011
136,Sat 16 Apr,14:15,Bath Rugby,19-15,Harlequins,Recreation Ground,2010-2011
137,Sat 16 Apr,15:00,Exeter Chiefs,12-33,Saracens,Sandy Park,2010-2011
138,Sat 16 Apr,15:00,Leicester Tigers,41-41,Gloucester Rugby,Welford Road,2010-2011
139,Sat 16 Apr,17:30,Sale Sharks,20-34,London Irish,Reebok Stadium,2010-2011
140,Sun 17 Apr,15:00,London Wasps,51-18,Leeds Carnegie,Adams Park,2010-2011
142,Tue 19 Apr,19:45,Gloucester Rugby,27-15,Northampton Saints,Kingsholm,2010-2011
144,Fri 22 Apr,15:00,Sale Sharks,24-30,Exeter Chiefs,Edgeley Park,2010-2011
145,Fri 22 Apr,18:00,Newcastle Falcons,13-24,Leicester Tigers,Kingston Park,2010-2011
146,Sat 23 Apr,15:00,London Irish,20-26,Northampton Saints,Madejski Stadium,2010-2011
147,Sat 23 Apr,17:30,London Wasps,10-43,Bath Rugby,Twickenham Stadium,2010-2011
148,Sun 24 Apr,13:30,Saracens,35-12,Gloucester Rugby,Vicarage Road,2010-2011
149,Sun 24 Apr,15:00,Leeds Carnegie,3-38,Harlequins,Headingley Carnegie,2010-2011
151,Sat 30 Apr,16:00,Newcastle Falcons,11-14,Bath Rugby,Kingston Park,2010-2011
153,Sat 7 May,15:00,Bath Rugby,42-12,Newcastle Falcons,Recreation Ground,2010-2011
154,Sat 7 May,15:00,Exeter Chiefs,21-8,London Wasps,Sandy Park,2010-2011
155,Sat 7 May,15:00,Gloucester Rugby,68-17,Sale Sharks,Kingsholm,2010-2011
156,Sat 7 May,15:00,Harlequins,13-16,Saracens,Twickenham Stoop,2010-2011
157,Sat 7 May,15:00,Leicester Tigers,32-23,London Irish,Welford Road,2010-2011
158,Sat 7 May,15:00,Northampton Saints,31-24,Leeds Carnegie,Franklin's Gardens,2010-2011
160,Sat 14 May,15:15,Leicester Tigers,11-3,Northampton Saints,Welford Road,2010-2011
161,Sun 15 May,14:30,Saracens,12-10,Gloucester Rugby,Vicarage Road,2010-2011
163,Sat 28 May,15:00,Leicester Tigers,18-22,Saracens,Twickenham Stadium,2010-2011
1,Sat 3 Sep,14:00,London Irish,24-29,Harlequins,Twickenham Stadium,2011-2012
2,Sat 3 Sep,15:00,Leicester Tigers,28-30,Exeter Chiefs,Welford Road,2011-2012
3,Sat 3 Sep,15:00,Worcester Warriors,17-12,Sale Sharks,Sixways,2011-2012
4,Sat 3 Sep,16:30,Saracens,15-20,London Wasps,Twickenham Stadium,2011-2012
5,Sat 3 Sep,18:30,Newcastle Falcons,9-22,Bath Rugby,Kingston Park,2011-2012
6,Sun 4 Sep,15:30,Northampton Saints,26-24,Gloucester Rugby,Franklin's Gardens,2011-2012
8,Fri 9 Sep,19:45,Harlequins,26-13,Northampton Saints,Twickenham Stoop,2011-2012
9,Fri 9 Sep,19:45,Sale Sharks,30-29,London Irish,Edgeley Park,2011-2012
10,Sat 10 Sep,15:00,Exeter Chiefs,32-15,Newcastle Falcons,Sandy Park,2011-2012
11,Sat 10 Sep,15:00,Gloucester Rugby,29-8,Worcester Warriors,Kingsholm,2011-2012
12,Sat 10 Sep,15:15,Bath Rugby,26-28,Saracens,Recreation Ground,2011-2012
13,Sun 11 Sep,14:15,London Wasps,35-29,Leicester Tigers,Adams Park,2011-2012
15,Sat 17 Sep,15:00,Harlequins,42-6,Gloucester Rugby,Twickenham Stoop,2011-2012
16,Sat 17 Sep,15:00,London Wasps,18-29,Sale Sharks,Adams Park,2011-2012
17,Sat 17 Sep,15:00,Northampton Saints,13-14,London Irish,Franklin's Gardens,2011-2012
18,Sat 17 Sep,15:05,Newcastle Falcons,26-27,Leicester Tigers,Kingston Park,2011-2012
19,Sat 17 Sep,17:30,Bath Rugby,23-19,Exeter Chiefs,Recreation Ground,2011-2012
20,Sun 18 Sep,14:15,Saracens,18-6,Worcester Warriors,Vicarage Road,2011-2012
22,Fri 23 Sep,19:45,Sale Sharks,29-21,Northampton Saints,Edgeley Park,2011-2012
23,Sat 24 Sep,14:30,Leicester Tigers,25-50,Saracens,Welford Road,2011-2012
24,Sat 24 Sep,15:00,Gloucester Rugby,23-6,Bath Rugby,Kingsholm,2011-2012
25,Sat 24 Sep,15:00,London Irish,46-29,Newcastle Falcons,Madejski Stadium,2011-2012
26,Sat 24 Sep,15:00,Worcester Warriors,15-17,Harlequins,Sixways,2011-2012
27,Sun 25 Sep,15:00,Exeter Chiefs,21-11,London Wasps,Sandy Park,2011-2012
29,Fri 30 Sep,19:45,Worcester Warriors,12-3,Northampton Saints,Sixways,2011-2012
30,Sat 1 Oct,13:00,Gloucester Rugby,33-30,London Irish,Kingsholm,2011-2012
31,Sat 1 Oct,15:00,Exeter Chiefs,13-17,Saracens,Sandy Park,2011-2012
32,Sat 1 Oct,15:00,Harlequins,48-41,Sale Sharks,Twickenham Stoop,2011-2012
33,Sat 1 Oct,15:15,Bath Rugby,26-25,Leicester Tigers,Recreation Ground,2011-2012
34,Sun 2 Oct,15:30,Newcastle Falcons,15-10,London Wasps,Kingston Park,2011-2012
36,Sat 8 Oct,14:30,Northampton Saints,33-3,Exeter Chiefs,Franklin's Gardens,2011-2012
37,Sat 8 Oct,15:00,Sale Sharks,13-11,Gloucester Rugby,Edgeley Park,2011-2012
38,Sat 8 Oct,16:45,Leicester Tigers,18-27,Harlequins,Welford Road,2011-2012
39,Sun 9 Oct,14:00,London Irish,42-24,Worcester Warriors,Madejski Stadium,2011-2012
40,Sun 9 Oct,15:00,London Wasps,27-24,Bath Rugby,Adams Park,2011-2012
41,Sun 9 Oct,15:00,Saracens,25-5,Newcastle Falcons,Vicarage Road,2011-2012
43,Fri 28 Oct,19:45,Sale Sharks,13-34,Leicester Tigers,Edgeley Park,2011-2012
44,Fri 28 Oct,19:45,Worcester Warriors,12-14,London Wasps,Sixways,2011-2012
45,Sat 29 Oct,14:30,London Irish,12-13,Bath Rugby,Madejski Stadium,2011-2012
46,Sat 29 Oct,15:00,Harlequins,19-13,Exeter Chiefs,Twickenham Stoop,2011-2012
47,Sat 29 Oct,15:00,Northampton Saints,44-15,Newcastle Falcons,Franklin's Gardens,2011-2012
48,Sat 29 Oct,17:45,Gloucester Rugby,17-19,Saracens,Kingsholm,2011-2012
50,Fri 4 Nov,19:45,Newcastle Falcons,16-16,Worcester Warriors,Kingston Park,2011-2012
51,Sat 5 Nov,14:15,Bath Rugby,13-26,Harlequins,Recreation Ground,2011-2012
52,Sat 5 Nov,15:00,Exeter Chiefs,19-24,Gloucester Rugby,Sandy Park,2011-2012
53,Sat 5 Nov,15:05,Leicester Tigers,24-24,London Irish,Welford Road,2011-2012
54,Sun 6 Nov,14:15,London Wasps,13-24,Northampton Saints,Adams Park,2011-2012
55,Sun 6 Nov,15:00,Saracens,23-10,Sale Sharks,Vicarage Road,2011-2012
57,Fri 25 Nov,19:45,Sale Sharks,23-30,Exeter Chiefs,Edgeley Park,2011-2012
58,Fri 25 Nov,19:45,Worcester Warriors,16-7,Bath Rugby,Sixways,2011-2012
59,Sat 26 Nov,14:15,Gloucester Rugby,14-19,Leicester Tigers,Kingsholm,2011-2012
60,Sat 26 Nov,15:00,London Irish,21-17,London Wasps,Madejski Stadium,2011-2012
61,Sat 26 Nov,17:00,Northampton Saints,30-8,Saracens,Franklin's Gardens,2011-2012
62,Sun 27 Nov,15:00,Harlequins,39-8,Newcastle Falcons,Twickenham Stoop,2011-2012
64,Fri 2 Dec,20:00,Newcastle Falcons,26-25,Gloucester Rugby,Kingston Park,2011-2012
65,Sat 3 Dec,14:15,Bath Rugby,13-16,Sale Sharks,Recreation Ground,2011-2012
66,Sat 3 Dec,14:15,Leicester Tigers,30-25,Northampton Saints,Welford Road,2011-2012
67,Sat 3 Dec,15:00,Exeter Chiefs,15-9,Worcester Warriors,Sandy Park,2011-2012
68,Sun 4 Dec,14:00,Saracens,15-11,London Irish,Vicarage Road,2011-2012
69,Sun 4 Dec,16:00,London Wasps,16-22,Harlequins,Adams Park,2011-2012
71,Sat 24 Dec,15:15,Northampton Saints,22-13,Bath Rugby,Franklin's Gardens,2011-2012
72,Mon 26 Dec,14:30,Sale Sharks,27-19,Newcastle Falcons,Edgeley Park,2011-2012
73,Mon 26 Dec,15:00,Gloucester Rugby,39-10,London Wasps,Kingsholm,2011-2012
74,Tue 27 Dec,13:30,London Irish,29-22,Exeter Chiefs,Madejski Stadium,2011-2012
75,Tue 27 Dec,14:00,Worcester Warriors,13-32,Leicester Tigers,Sixways,2011-2012
76,Tue 27 Dec,16:30,Harlequins,11-19,Saracens,Twickenham Stadium,2011-2012
78,Sat 31 Dec,14:00,Newcastle Falcons,14-32,Northampton Saints,Kingston Park,2011-2012
79,Sat 31 Dec,15:45,Exeter Chiefs,9-11,Harlequins,Sandy Park,2011-2012
80,Sun 1 Jan,13:30,Bath Rugby,30-3,London Irish,Recreation Ground,2011-2012
81,Sun 1 Jan,15:00,London Wasps,0-6,Worcester Warriors,Adams Park,2011-2012
82,Sun 1 Jan,15:00,Saracens,15-15,Gloucester Rugby,Vicarage Road,2011-2012
83,Sun 1 Jan,15:30,Leicester Tigers,28-23,Sale Sharks,Welford Road,2011-2012
85,Fri 6 Jan,19:45,Northampton Saints,24-3,Harlequins,Franklin's Gardens,2011-2012
86,Sat 7 Jan,14:45,Worcester Warriors,21-15,Gloucester Rugby,Sixways,2011-2012
87,Sat 7 Jan,15:00,Newcastle Falcons,10-16,Exeter Chiefs,Kingston Park,2011-2012
88,Sat 7 Jan,17:00,Leicester Tigers,29-11,London Wasps,Welford Road,2011-2012
89,Sun 8 Jan,15:00,London Irish,21-19,Sale Sharks,Madejski Stadium,2011-2012
90,Sun 8 Jan,15:00,Saracens,26-19,Bath Rugby,Vicarage Road,2011-2012
92,Fri 10 Feb,20:00,Sale Sharks,15-12,Worcester Warriors,Edgeley Park,2011-2012
93,Sat 11 Feb,14:00,Harlequins,30-23,London Irish,Twickenham Stoop,2011-2012
94,Sat 11 Feb,14:15,Bath Rugby,30-24,Newcastle Falcons,Recreation Ground,2011-2012
95,Sat 11 Feb,14:15,Gloucester Rugby,27-24,Northampton Saints,Kingsholm,2011-2012
96,Sat 11 Feb,18:00,Exeter Chiefs,19-11,Leicester Tigers,Sandy Park,2011-2012
97,Sun 12 Feb,13:15,London Wasps,17-22,Saracens,Adams Park,2011-2012
99,Sat 18 Feb,14:30,Bath Rugby,11-14,Gloucester Rugby,Recreation Ground,2011-2012
100,Sat 18 Feb,15:00,London Wasps,12-15,Exeter Chiefs,Adams Park,2011-2012
101,Sat 18 Feb,15:00,Newcastle Falcons,19-10,London Irish,Kingston Park,2011-2012
102,Sat 18 Feb,15:00,Northampton Saints,24-17,Sale Sharks,Franklin's Gardens,2011-2012
103,Sat 18 Feb,17:30,Harlequins,16-14,Worcester Warriors,Twickenham Stoop,2011-2012
104,Sun 19 Feb,14:30,Saracens,19-20,Leicester Tigers,Vicarage Road,2011-2012
106,Fri 24 Feb,19:45,Sale Sharks,46-34,London Wasps,Edgeley Park,2011-2012
107,Fri 24 Feb,19:45,Worcester Warriors,16-11,Saracens,Sixways,2011-2012
108,Sat 25 Feb,15:00,Leicester Tigers,42-15,Newcastle Falcons,Welford Road,2011-2012
109,Sat 25 Feb,18:00,Exeter Chiefs,9-12,Bath Rugby,Sandy Park,2011-2012
110,Sat 25 Feb,18:00,Gloucester Rugby,29-23,Harlequins,Kingsholm,2011-2012
111,Sun 26 Feb,13:15,London Irish,23-30,Northampton Saints,Madejski Stadium,2011-2012
113,Fri 2 Mar,19:45,Newcastle Falcons,9-9,Harlequins,Kingston Park,2011-2012
114,Sat 3 Mar,14:15,Bath Rugby,36-17,Worcester Warriors,Recreation Ground,2011-2012
115,Sat 3 Mar,15:00,Exeter Chiefs,37-12,Sale Sharks,Sandy Park,2011-2012
116,Sat 3 Mar,15:00,London Wasps,18-13,London Irish,Adams Park,2011-2012
117,Sun 4 Mar,13:00,Leicester Tigers,36-3,Gloucester Rugby,Welford Road,2011-2012
118,Sun 4 Mar,17:00,Saracens,18-12,Northampton Saints,Vicarage Road,2011-2012
120,Fri 23 Mar,19:45,Sale Sharks,9-45,Saracens,Edgeley Park,2011-2012
121,Fri 23 Mar,19:45,Worcester Warriors,19-9,Newcastle Falcons,Sixways,2011-2012
122,Sat 24 Mar,14:15,Harlequins,14-6,Bath Rugby,Twickenham Stoop,2011-2012
123,Sat 24 Mar,15:00,Gloucester Rugby,27-28,Exeter Chiefs,Kingsholm,2011-2012
124,Sat 24 Mar,17:45,Northampton Saints,32-15,London Wasps,Franklin's Gardens,2011-2012
125,Sun 25 Mar,15:00,London Irish,32-41,Leicester Tigers,Madejski Stadium,2011-2012
127,Fri 30 Mar,19:45,Leicester Tigers,43-13,Worcester Warriors,Welford Road,2011-2012
128,Fri 30 Mar,20:00,Newcastle Falcons,22-19,Sale Sharks,Kingston Park,2011-2012
129,Sat 31 Mar,15:00,Exeter Chiefs,18-11,London Irish,Sandy Park,2011-2012
130,Sat 31 Mar,15:00,Saracens,19-24,Harlequins,Wembley Stadium,2011-2012
131,Sat 31 Mar,17:30,Bath Rugby,6-26,Northampton Saints,Recreation Ground,2011-2012
132,Sun 1 Apr,15:00,London Wasps,26-24,Gloucester Rugby,Adams Park,2011-2012
134,Fri 13 Apr,19:45,Sale Sharks,16-9,Bath Rugby,Edgeley Park,2011-2012
135,Sat 14 Apr,14:15,Northampton Saints,21-35,Leicester Tigers,Franklin's Gardens,2011-2012
136,Sat 14 Apr,15:00,Gloucester Rugby,20-29,Newcastle Falcons,Kingsholm,2011-2012
