,Data,Time,Home,Score,Away,Venue,Season
68,Sat 22 Jan,15:00,Northampton Saints,38-16,Bedford Blues,Franklin's Gardens,1999-2000
69,Sun 23 Jan,14:00,Sale Sharks,24-31,London Irish,Heywood Road,1999-2000
70,Tue 25 Jan,19:30,Bedford Blues,25-28,NEC Harlequins,Goldington Road,1999-2000
71,Tue 25 Jan,19:30,Newcastle Falcons,16-20,Bath Rugby,Kingston Park,1999-2000
72,Tue 25 Jan,19:45,Saracens,35-21,Gloucester,Vicarage Road,1999-2000
73,Tue 25 Jan,20:00,London Wasps,20-29,Leicester Tigers,Loftus Road,1999-2000
74,Wed 26 Jan,19:30,London Irish,20-44,Northampton Saints,Twickenham Stoop,1999-2000
75,Sat 12 Feb,14:00,Northampton Saints,19-23,Bristol Shoguns,Franklin's Gardens,1999-2000
76,Sat 12 Feb,15:00,Bath Rugby,32-22,Bedford Blues,Recreation Ground,1999-2000
77,Sat 12 Feb,15:00,Leicester Tigers,34-26,Newcastle Falcons,Welford Road,1999-2000
78,Sat 12 Feb,15:00,NEC Harlequins,14-39,London Irish,Twickenham Stoop,1999-2000
79,Sat 12 Feb,15:00,Sale Sharks,13-31,Gloucester,Heywood Road,1999-2000
80,Sun 13 Feb,15:00,London Wasps,41-17,Saracens,Loftus Road,1999-2000
81,Sun 27 Feb,15:00,Newcastle Falcons,23-20,Bedford Blues,Kingston Park,1999-2000
82,Wed 8 Mar,19:30,Bristol Shoguns,35-16,Sale Sharks,Memorial Stadium,1999-2000
83,Sat 11 Mar,14:00,Gloucester,11-35,Northampton Saints,Kingsholm,1999-2000
84,Sat 11 Mar,15:00,Bedford Blues,22-32,Leicester Tigers,Goldington Road,1999-2000
85,Sat 11 Mar,15:00,Bristol Shoguns,42-39,NEC Harlequins,Memorial Stadium,1999-2000
86,Sat 11 Mar,15:00,London Irish,16-64,Bath Rugby,Twickenham Stoop,1999-2000
87,Sun 12 Mar,15:00,Newcastle Falcons,8-34,London Wasps,Kingston Park,1999-2000
88,Sun 12 Mar,15:00,Saracens,56-28,Sale Sharks,Vicarage Road,1999-2000
89,Sat 25 Mar,14:15,Bath Rugby,39-13,Bristol Shoguns,Recreation Ground,1999-2000
90,Sat 25 Mar,15:00,Leicester Tigers,41-16,London Irish,Welford Road,1999-2000
91,Sat 25 Mar,15:00,NEC Harlequins,24-38,Gloucester,Twickenham Stoop,1999-2000
92,Sat 25 Mar,15:00,Northampton Saints,26-7,Sale Sharks,Franklin's Gardens,1999-2000
93,Sun 26 Mar,15:00,London Wasps,62-8,Bedford Blues,Loftus Road,1999-2000
94,Sun 26 Mar,15:00,Newcastle Falcons,15-6,Saracens,Kingston Park,1999-2000
95,Sat 8 Apr,15:00,Bedford Blues,32-22,Newcastle Falcons,Goldington Road,1999-2000
96,Sat 8 Apr,15:00,Gloucester,16-36,Bath Rugby,Kingsholm,1999-2000
97,Sat 8 Apr,15:00,Sale Sharks,36-20,NEC Harlequins,Heywood Road,1999-2000
98,Sat 15 Apr,14:15,Bath Rugby,36-6,Sale Sharks,Recreation Ground,1999-2000
99,Sun 16 Apr,15:00,Bedford Blues,29-57,Saracens,Goldington Road,1999-2000
100,Tue 18 Apr,19:30,Newcastle Falcons,28-23,London Irish,Kingston Park,1999-2000
101,Tue 18 Apr,19:45,Leicester Tigers,24-13,Gloucester,Welford Road,1999-2000
102,Wed 19 Apr,19:30,NEC Harlequins,29-17,Northampton Saints,Twickenham Stoop,1999-2000
