Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
2003-04-10,1394.7666230566726,,,,,,1384.2965386402436,1664.2696401711255,,,,,,,,,1355.5084774796735,1565.407515007998,,
2003-04-17,,,,,1611.5624173886304,,,,,,,,1527.2314379143247,,,,,,,
2003-04-24,,,1378.4788515081257,,,1367.2951963548805,,,1393.8921586775125,,,1412.4649018477514,,,,1522.985022796127,,,,
2003-05-01,,,,,1615.3382147302902,,,1648.0651674765406,,,,,1523.0648011827232,,,,1364.7727693184536,,,
2003-05-08,,,1378.5656768193246,,,1353.5624771138234,1414.8733468575656,1625.7321210018865,,,,1419.504940765206,,,,1499.7850099918314,,,,
2003-05-15,1395.056020996594,,,,1608.6676146772406,,,,1423.5609773447213,,,,1539.161576892661,,,,1371.2040522764748,1568.040799573315,,
2003-05-22,,,,,,,,,,,,,,,,,,1575.6412575313168,,
2003-06-05,,,,,1591.1423846721807,,,,,,,,,,,,,,,
2003-09-18,,,,,1592.4802311278845,1391.729242482674,1392.7576872404265,1619.9838960609354,,,,1392.1703711626033,,,,1483.8373196483792,,,,
2003-09-25,1424.7684087525158,,,,,,,,1434.4798293163597,,,1403.8321569420666,,,1195.764240432744,,1392.9258503486665,1580.8683884307493,,
2003-10-02,,,,,1581.7027974614816,1411.3058925427567,1392.596290705506,1619.2570483102372,,,,,1531.8078651253575,,,1454.223873354895,,,,
2003-10-09,,,,,,,,1598.4148245792935,1432.3813393103571,,,1415.3835992720417,,,1186.756285887422,,1398.3883290886013,1550.304071523481,,
2003-10-16,1465.143416062539,,,,1576.4050261981704,1411.011544504334,1394.0409594871248,,,,,,1517.6917135227209,,,1461.1417562331112,,,,
2003-10-23,1471.397509950971,,,,,1400.3119876406054,1409.3632108596644,,,,,,1523.0357326282874,,1177.3072973111375,,,1569.5459256988504,,
2003-10-30,,,,,1591.0149354218465,1386.1276194396037,,1555.4965216732473,1449.0294099419393,,,1411.997627772673,,,,,1373.2241582304514,,,
2003-11-06,1472.2781116456454,,,,,,1388.3473342037762,,,,,,1551.2633974576709,,1165.283910535034,1464.8577134158895,,1583.6227315584254,,
2003-11-13,,,,,1561.2383702933166,1416.9179353820998,,1553.5549236401505,,,,1410.718973696102,,,,1471.089870719759,1369.1604204890464,,,
2003-11-27,1498.142757408933,,,,,,,,1461.6086745958053,,,,1541.93085851728,,1158.217271684119,1476.6628016313668,,1581.8899147222207,,
2003-12-04,,,,,1561.2808103350312,1393.1228372750488,,1539.488978230119,1470.6088442395526,,,1418.1424976406477,,,,,1367.0013749460109,,,
2003-12-25,1522.109394197187,,,,,,1409.6054638582766,,,,,,1542.4742556222445,,1148.8181920834547,1461.4480118481845,,1596.1206424388986,,
2004-01-01,,,,,1551.4760172008612,,,1535.9038689472293,1464.256886926538,,,1425.517816791114,,,,1463.412808048275,1358.089867795747,,,
